data/id,data/name,data/category,data/price_range
103793366896283,NOW Sports,Sports,
769151810130855,Enrich Tutors,App Page,
2285069471725727,Breathe at Berkeley,Nonprofit Organization,
768238663507472,Citizen Hacks,Software,
1412502365472804,European History Memes for the Enlightened Teens,Theatrical Play,
2009422872663284,Complex Analysis Memes for Holomorphic Teens,Education,
1279643508837429,Abhi L Speaks,Writer,
1884977111819740,CAS Memes for Maths Quest Teens,Cultural Center,
138562632977557,Joan Cornellà,Artist,
120709694789840,8FACT,Website,
148522592377192,Under Armour,Clothing (Brand),
313908439077109,Glenforest Cancer Society,Community,
1807744196117080,Elite Chat Chemistry Memes,Chemical Company,
1128770633893568,Mechanically Engineered Memes for High Tensile Teens,Interest,$$$$
742936862581255,Amnesty Glenforest,Community,
1605219649503824,Mathematical Memes for Logarithmically Scaled Teens,School,
1396492770589252,Stuff Uwaterloo Professors Say,Community,
470502246359428,Mississauga City Youth Council,Youth Organization,
1320678084616324,Next Stop Canada,Nonprofit Organization,$
234984640253612,The Ballboy,News & Media Website,
181642011972750,General Assembly Toronto,Computer Training School,$$
673081606139510,TechToronto,Community Organization,
1663930380567417,Toronto Youth Network,Nonprofit Organization,
124349814392124,MHacks,Event,
20534666726,Food Network,TV Network,
1229552787136651,Thermodynamic Memes for Adiabatic Teens,Literary Arts,
1617224368307119,IB Memes for Unproductive Teens,Just For Fun,
255036358270853,Elastic Economics Memes for Entrepreneurial Teens,Community,
1041480109295460,NMR and IR Spectroscopy Memes,Community,
11971032036,theScore,Media/News Company,
439199596290182,Casually Explained,Website,
441241125922184,Whistle Sports,Media/News Company,
96452604801,Kris Wilson,Pet,
1217674801577403,The Knowledge Society,Academic Camp,
184063051616518,FIRST,Nonprofit Organization,$
513404865420527,Fortafy,Media/News Company,
189882407605,22 Words,Entertainment Website,
1527400080840259,Glenforest STEM,Community,
368237178951,Life Made Delicious,Kitchen/Cooking,
315677718789283,Duke of Edinburgh - GFSS,Community,
743334585703874,Glenforest Mock Trial,Lawyer & Law Firm,
302688513418962,Glenforest United Way Committee,Nonprofit Organization,
144258922580817,Glenforest Chess Club,Community Organization,
864374390295849,Cipher,Community,
687374944651123,Ella Fit Pro Center,Athlete,
974715445924378,Glenforest BOSS,Cause,
422195104558425,Interact-YFGA Glenforest,Community,
149780065042279,NHL on NBC Sports,TV Channel,
1746631305584332,City Game Association - CGA,Community,
253967208290488,HOSA Glenforest,Education,$$
1130515823636257,SOC,Community,
315138958534486,IB Memes,Community,
831005103586450,Duke of Edinburgh  - Glenforest,Community,
167580640987,Hackathon,Product/Service,
433158716704377,HackerRank,Internet Company,
728365547243969,Hack Western,Computer Company,
919551874798333,Hack The 6ix,Internet Company,
1646303125620644,Project Pulse Waterloo,Nonprofit Organization,
460871324076841,Tech Retreat,Computer Company,
50504372607,Dairy Queen,Fast Food Restaurant,
203585823330621,Project Positivity,Community,
139188202817559,Interesting Engineering,Media/News Company,
1689842494626082,Tasty Demais,Media/News Company,
992181034176873,Did You Know? - Trending,Media/News Company,
1567797706878496,Voices of Glenforest,Organization,
857758214279927,Sweeten,Media/News Company,
268804973206677,Tastemade,Community,
491452930867938,BuzzFeed Food,Media/News Company,
238205562866018,BuzzFeed Partner,Entertainment Website,
1737181656494507,Proper Tasty,Media/News Company,
1614251518827491,Tasty,Media/News Company,
174477832901850,Morning Tea,Health & Wellness Website,
148133088575385,NBC Sports,TV Show,
7331091005,Bleacher Report,Broadcasting & Media Production Company,
21898300328,BuzzFeed,Media/News Company,
1436191823274128,Football Vines,Sports Team,
203652059653094,Government of British Columbia,Government Organization,
124615440900422,Western Capital Markets,School,
195763197251415,TBOT,Entertainment Website,
102099916530784,Humans of New York,Arts & Humanities Website,
570189013094236,Tumblr Addicts,Community,
103903953055751,The Comeback NHL,Recreation & Sports Website,
212051388816535,NESTEA,Food & Beverage Company,
105005689832696,Teachers of Peel,Community,
342582162608742,Glen Confessions/Advice,Community,
193742123995472,The Verge,Website,
426577184129821,Glenforest Athletic Council,Organization,
596632970468252,FuturFund,Nonprofit Organization,
212270682131283,ZaidAliT,Public Figure,
309856082542786,Glenforest SAC,School,
362222083945861,Volunteering Peel,Nonprofit Organization,
61652252465,NHL,Sports League,
13732078764,Pittsburgh Penguins,Sports,
359129892456,Sports on Facebook,Community,
120684447949421,Super 8,Movie,
552341558137500,Apptunes,Local Business,
134346706765558,Middle School Survival 101,App Page,
175225485972112,Gecko Studios,School,
233373726787917,Scoops,Ice Cream Shop,$
347268322023706,High Tech Helper,Media/News Company,
